id,timestamp,sepal_length,sepal_width,petal_length,petal_width,target
38993,2024-09-25 02:17:37.292364,7.7,2.6,6.9,2.3,2
38992,2024-09-25 02:17:36.283039,6.2,2.9,4.3,1.3,1
38991,2024-09-25 02:17:35.274964,4.8,3.0,1.4,0.1,0
38990,2024-09-25 02:17:34.268429,5.9,3.0,4.2,1.5,1
38989,2024-09-25 02:17:33.259128,6.5,3.0,5.2,2.0,2
38988,2024-09-25 02:17:32.251133,5.4,3.4,1.7,0.2,0
38987,2024-09-25 02:17:31.246132,5.6,2.8,4.9,2.0,2
38986,2024-09-25 02:17:30.240752,6.3,2.5,4.9,1.5,1
38985,2024-09-25 02:17:29.231522,6.2,2.8,4.8,1.8,2
38984,2024-09-25 02:17:28.221654,5.7,2.6,3.5,1.0,1
38983,2024-09-25 02:17:27.216209,5.6,2.5,3.9,1.1,1
38982,2024-09-25 02:17:26.211080,7.3,2.9,6.3,1.8,2
38981,2024-09-25 02:17:25.204811,6.3,2.5,4.9,1.5,1
38980,2024-09-25 02:17:24.195498,5.2,4.1,1.5,0.1,0
38979,2024-09-25 02:17:23.189816,6.0,3.0,4.8,1.8,2
38978,2024-09-25 02:17:22.181922,6.2,2.9,4.3,1.3,1
38977,2024-09-25 02:17:21.176689,5.5,2.4,3.7,1.0,1
38976,2024-09-25 02:17:20.168894,6.3,2.5,4.9,1.5,1
38975,2024-09-25 02:17:19.161481,5.1,3.5,1.4,0.3,0
38974,2024-09-25 02:17:18.150473,6.7,3.1,4.4,1.4,1
38973,2024-09-25 02:17:17.138722,5.8,2.7,4.1,1.0,1
38972,2024-09-25 02:17:16.127574,7.2,3.6,6.1,2.5,2
38971,2024-09-25 02:17:15.114711,6.1,2.9,4.7,1.4,1
38970,2024-09-25 02:17:14.104073,6.1,3.0,4.9,1.8,2
38969,2024-09-25 02:17:13.093677,6.4,2.8,5.6,2.1,2
38968,2024-09-25 02:17:12.082939,4.4,3.2,1.3,0.2,0
38967,2024-09-25 02:17:11.077574,6.7,3.0,5.2,2.3,2
38966,2024-09-25 02:17:10.065996,5.2,3.5,1.5,0.2,0
38965,2024-09-25 02:17:09.055878,7.3,2.9,6.3,1.8,2
38964,2024-09-25 02:17:08.045960,5.1,2.5,3.0,1.1,1
38963,2024-09-25 02:17:07.035663,6.4,3.2,5.3,2.3,2
38962,2024-09-25 02:17:06.022488,5.8,2.7,5.1,1.9,2
38961,2024-09-25 02:17:05.009640,5.8,2.7,3.9,1.2,1
38960,2024-09-25 02:17:03.998856,6.1,2.9,4.7,1.4,1
38959,2024-09-25 02:17:02.989394,5.6,2.5,3.9,1.1,1
38958,2024-09-25 02:17:01.982523,6.5,3.2,5.1,2.0,2
38957,2024-09-25 02:17:00.975157,5.2,2.7,3.9,1.4,1
38956,2024-09-25 02:16:59.967994,7.7,3.8,6.7,2.2,2
38955,2024-09-25 02:16:58.958361,5.7,2.8,4.1,1.3,1
38954,2024-09-25 02:16:57.949686,6.1,2.6,5.6,1.4,2
38953,2024-09-25 02:16:56.943725,6.8,3.0,5.5,2.1,2
38952,2024-09-25 02:16:55.933258,5.8,2.7,5.1,1.9,2
38951,2024-09-25 02:16:54.927227,5.0,3.6,1.4,0.2,0
38950,2024-09-25 02:16:53.920134,5.0,3.4,1.6,0.4,0
38949,2024-09-25 02:16:52.909373,5.7,3.8,1.7,0.3,0
38948,2024-09-25 02:16:51.898193,6.3,2.5,5.0,1.9,2
38947,2024-09-25 02:16:50.887502,6.6,3.0,4.4,1.4,1
38946,2024-09-25 02:16:49.875220,5.5,2.4,3.7,1.0,1
38945,2024-09-25 02:16:48.866380,5.0,2.3,3.3,1.0,1
38944,2024-09-25 02:16:47.855905,6.5,3.0,5.8,2.2,2
38943,2024-09-25 02:16:46.847790,6.3,2.5,5.0,1.9,2
38942,2024-09-25 02:16:45.842004,6.9,3.1,5.1,2.3,2
38941,2024-09-25 02:16:44.834455,5.5,2.5,4.0,1.3,1
